method,window_idx,drift_detected,detection_latency,false_positive,false_negative,p_value,statistic,cpu_time_ms
ADWIN,0,False,0.00011999998241662979,False,False,,,0.11610006913542747
DDM,0,False,0.00026739994063973427,False,False,,,0.26359991170465946
KSWIN,0,False,0.055626200046390295,False,False,,,55.621800012886524
PageHinkley,0,False,0.00031939998734742403,False,False,,,0.3152999561280012
KS_Test,0,True,0.06090519996359944,True,False,,,60.7875999994576
PSI,0,True,0.00644489994738251,True,False,,2.3605569184946686,6.439000018872321
ADWIN,1,False,9.430001955479383e-05,False,False,,,0.09079999290406704
DDM,1,False,0.0002391999587416649,False,False,,,0.23560004774481058
KSWIN,1,False,0.055907499976456165,False,False,,,55.90389994904399
PageHinkley,1,False,0.0002386999549344182,False,False,,,0.2351000439375639
KS_Test,1,True,0.06404730002395809,True,False,,,63.912700046785176
PSI,1,True,0.007210000068880618,True,False,,3.344762887832653,7.198199979029596
ADWIN,2,False,9.439990390092134e-05,False,False,,,0.09059999138116837
DDM,2,False,0.00023829995188862085,False,False,,,0.23589993361383677
KSWIN,2,False,0.05161869991570711,False,False,,,51.61549989134073
PageHinkley,2,False,0.0002305000089108944,False,False,,,0.22789998911321163
KS_Test,2,True,0.06311900005675852,True,False,,,63.017799984663725
PSI,2,True,0.006976700038649142,True,False,,3.6208014774519124,6.973000010475516
ADWIN,3,False,8.720008190721273e-05,False,False,,,0.08420005906373262
DDM,3,False,0.00037020002491772175,False,False,,,0.36750000435858965
KSWIN,3,False,0.04885559994727373,False,False,,,48.85259992443025
PageHinkley,3,False,0.00021920003928244114,False,False,,,0.2164000179618597
KS_Test,3,True,0.061560100060887635,True,False,,,61.45939999260008
PSI,3,True,0.006093900068663061,True,False,,3.922898265081017,6.088700029067695
ADWIN,4,False,8.5500068962574e-05,False,False,,,0.08290004916489124
DDM,4,False,0.00021309999283403158,False,False,,,0.21089997608214617
KSWIN,4,False,0.0500904000364244,False,False,,,50.08760001510382
PageHinkley,4,False,0.00021770002786070108,False,False,,,0.21510000806301832
KS_Test,4,True,0.05443450005259365,True,False,,,54.33770001400262
PSI,4,True,0.0060304999351501465,True,False,,3.5700420364729952,6.0255000134930015
ADWIN,5,False,8.36000544950366e-05,False,False,,,0.08060003165155649
DDM,5,False,0.00022659997921437025,False,False,,,0.22449996322393417
KSWIN,5,False,0.04779560002498329,False,False,,,47.792700002901256
PageHinkley,5,False,0.00021730002481490374,False,False,,,0.21500000730156898
KS_Test,5,True,0.05917789996601641,True,False,,,59.07890002708882
PSI,5,True,0.00587009999435395,True,False,,3.945861003300969,5.865400074981153
ADWIN,6,False,8.420005906373262e-05,False,False,,,0.0809000339359045
DDM,6,False,0.00020860007498413324,False,False,,,0.20640005823224783
KSWIN,6,False,0.04680209991056472,False,False,,,46.79459996987134
PageHinkley,6,False,0.0002142000012099743,False,False,,,0.21169998217374086
KS_Test,6,True,0.06855669990181923,True,False,,,68.46079998649657
PSI,6,True,0.005714399972930551,True,False,,4.669151029719132,5.7091000489890575
ADWIN,7,False,0.00011580006685107946,False,False,,,0.11250004172325134
DDM,7,False,0.00021730002481490374,False,False,,,0.215300009585917
KSWIN,7,True,0.03015939996112138,True,False,,,30.15690005850047
PageHinkley,7,False,0.00020370003767311573,False,False,,,0.20140002015978098
KS_Test,7,True,0.06256810005288571,True,False,,,62.46320006903261
PSI,7,True,0.006735400063917041,True,False,,5.364254095734814,6.730700028128922
ADWIN,8,False,9.379989933222532e-05,False,False,,,0.08950009942054749
DDM,8,False,0.0003928000805899501,False,False,,,0.38730003871023655
KSWIN,8,False,0.05243560008239001,False,False,,,52.43250005878508
PageHinkley,8,False,0.00021939992439001799,False,False,,,0.21590001415461302
KS_Test,8,True,0.06867569999303669,True,False,,,68.5813999734819
PSI,8,True,0.007106599980033934,True,False,,6.643348659599541,7.102799951098859
ADWIN,9,False,8.25999304652214e-05,False,False,,,0.07939990609884262
DDM,9,False,0.00020119990222156048,False,False,,,0.19910000264644623
KSWIN,9,False,0.04748229996766895,False,False,,,47.47949994634837
PageHinkley,9,False,0.00020460004452615976,False,False,,,0.202000024728477
KS_Test,9,True,0.06064509996213019,True,False,,,60.54079998284578
PSI,9,True,0.005961099988780916,True,False,,6.2830974758897975,5.956799956038594
ADWIN,10,False,8.260004688054323e-05,False,True,,,0.07930002175271511
DDM,10,False,0.00020220002625137568,False,True,,,0.2001000102609396
KSWIN,10,False,0.045482999994419515,False,True,,,45.48039997462183
PageHinkley,10,False,0.00021500000730156898,False,True,,,0.2125999890267849
KS_Test,10,True,0.077657499932684,False,False,,,77.56249990779907
PSI,10,True,0.005854499991983175,False,False,,13.25393864340564,5.850400077179074
ADWIN,11,False,8.25000461190939e-05,False,True,,,0.07940002251416445
DDM,11,False,0.00019340007565915585,False,True,,,0.19130005966871977
KSWIN,11,False,0.04553679993841797,False,True,,,45.53380003198981
PageHinkley,11,False,0.00021079997532069683,False,True,,,0.2074000658467412
KS_Test,11,True,0.08105370006524026,False,False,,,80.95450000837445
PSI,11,True,0.005883500096388161,False,False,,15.544355085525629,5.879300064407289
ADWIN,12,False,8.230004459619522e-05,False,True,,,0.07940002251416445
DDM,12,False,0.00019010005053132772,False,True,,,0.1879000337794423
KSWIN,12,False,0.045802899985574186,False,True,,,45.799899962730706
PageHinkley,12,False,0.00021449988707900047,False,True,,,0.21210010163486004
KS_Test,12,True,0.07926459994632751,False,False,,,79.17000004090369
PSI,12,True,0.005805499968118966,False,False,,17.182425716200846,5.801700055599213
ADWIN,13,False,8.5500068962574e-05,False,True,,,0.08200004231184721
DDM,13,False,0.00019040005281567574,False,True,,,0.18820003606379032
KSWIN,13,False,0.04475889995228499,False,True,,,44.75589992944151
PageHinkley,13,False,0.00020920007955282927,False,True,,,0.20680006127804518
KS_Test,13,True,0.0794842999894172,False,False,,,79.38440004363656
PSI,13,True,0.006565099931322038,False,False,,15.936223019272129,6.5614000195637345
ADWIN,14,True,6.430002395063639e-05,False,False,,,0.06160000339150429
DDM,14,False,0.0001911999424919486,False,True,,,0.1889999257400632
KSWIN,14,True,0.016894400003366172,False,False,,,16.889700083993375
PageHinkley,14,False,0.0001906000543385744,False,True,,,0.18850003834813833
KS_Test,14,True,0.07096909999381751,False,False,,,70.87729999329895
PSI,14,True,0.005517299985513091,False,False,,13.0069261275403,5.513400072231889
ADWIN,15,False,8.080003317445517e-05,False,True,,,0.07770000956952572
DDM,15,False,0.00018890004139393568,False,True,,,0.18690002616494894
KSWIN,15,False,0.044589499942958355,False,True,,,44.586600037291646
PageHinkley,15,False,0.0002028000308200717,False,True,,,0.20070001482963562
KS_Test,15,True,0.07504350005183369,False,False,,,74.95040004141629
PSI,15,True,0.005629199906252325,False,False,,14.971625929595223,5.624700104817748
ADWIN,16,False,8.14999220892787e-05,False,True,,,0.07850001566112041
DDM,16,False,0.000192799954675138,False,True,,,0.19059993792325258
KSWIN,16,False,0.04750300000887364,False,True,,,47.49790008645505
PageHinkley,16,False,0.0002500000409781933,False,True,,,0.24369999300688505
KS_Test,16,True,0.07569750002585351,False,False,,,75.60240000020713
PSI,16,True,0.005972899962216616,False,False,,18.012379618324495,5.966299911960959
ADWIN,17,False,8.349993731826544e-05,False,True,,,0.08020002860575914
DDM,17,False,0.00019099994096904993,False,True,,,0.18850003834813833
KSWIN,17,False,0.045868300017900765,False,True,,,45.86569999810308
PageHinkley,17,False,0.00020549993496388197,False,True,,,0.2025000285357237
KS_Test,17,True,0.0758247000630945,False,False,,,75.72930003516376
PSI,17,True,0.005660500028170645,False,False,,13.438422847221732,5.655399989336729
ADWIN,18,False,8.159992285072803e-05,False,True,,,0.07870001718401909
DDM,18,False,0.0001946999691426754,False,True,,,0.19219995010644197
KSWIN,18,False,0.04401359998155385,False,True,,,44.009999954141676
PageHinkley,18,False,0.00020839995704591274,False,True,,,0.20600005518645048
KS_Test,18,True,0.0828594999620691,False,False,,,82.76180003304034
PSI,18,True,0.005854399991221726,False,False,,18.568518272454416,5.850499961525202
ADWIN,19,False,8.14999220892787e-05,False,True,,,0.07850001566112041
DDM,19,False,0.00018930004443973303,False,True,,,0.18660002388060093
KSWIN,19,False,0.04778879997320473,False,True,,,47.78509994503111
PageHinkley,19,False,0.00020560005214065313,False,True,,,0.20320003386586905
KS_Test,19,True,0.08034460002090782,False,False,,,80.25080000516027
PSI,19,True,0.007599900010973215,False,False,,18.167951050536285,7.595799979753792
