method,window_idx,drift_detected,detection_latency,false_positive,false_negative,p_value,statistic,cpu_time_ms
DDM,15,False,0.0003330999752506614,False,True,,,0.32940006349235773
KSWIN,15,False,0.08379390009213239,False,True,,,83.78920005634427
PageHinkley,15,False,0.0006365000735968351,False,True,,,0.6303000263869762
KS_Test,15,True,0.1528977999696508,False,False,,,152.65900001395494
PSI,15,True,0.012943599955178797,False,False,,15.210481921204888,12.93730002362281
ADWIN,16,False,0.0001588999293744564,False,True,,,0.15400000847876072
DDM,16,False,0.00034440006129443645,False,True,,,0.3402000293135643
KSWIN,16,False,0.11895420006476343,False,True,,,118.94720001146197
PageHinkley,16,False,0.0005056000081822276,False,True,,,0.49969996325671673
KS_Test,16,True,0.19147620000876486,False,False,,,191.23870006296784
PSI,16,True,0.015384300029836595,False,False,,18.19386289882606,15.376799972727895
ADWIN,17,False,0.00021029997151345015,False,True,,,0.20409992430359125
DDM,17,False,0.0004771000239998102,False,True,,,0.47149998135864735
KSWIN,17,False,0.11003870004788041,False,True,,,110.03270000219345
PageHinkley,17,False,0.00047209998592734337,False,True,,,0.46559993643313646
KS_Test,17,True,0.13793540000915527,False,False,,,137.7828000113368
PSI,17,True,0.011046899948269129,False,False,,13.706207198876179,11.040499899536371
ADWIN,18,False,0.00012620002962648869,False,True,,,0.12270000297576189
DDM,18,False,0.00029339990578591824,False,True,,,0.28959999326616526
KSWIN,18,False,0.10249749990180135,False,True,,,102.49180009122938
PageHinkley,18,False,0.0004992999602109194,False,True,,,0.49430003855377436
KS_Test,18,True,0.20532439998351038,False,False,,,204.67100001405925
PSI,18,True,0.014651200035586953,False,False,,18.739508370802586,14.643499976955354
ADWIN,19,False,0.0002351999282836914,False,True,,,0.2269999822601676
DDM,19,False,0.0007526000263169408,False,True,,,0.7448999676853418
KSWIN,19,False,0.11532320000696927,False,True,,,115.31690007541329
PageHinkley,19,False,0.00047470000572502613,False,True,,,0.46960008330643177
KS_Test,19,True,0.1625255000544712,False,False,,,162.37380006350577
PSI,19,True,0.011010400019586086,False,False,,18.346499020996117,11.004300089552999
