method,total_windows,detections,false_positives,false_negatives,avg_latency_ms,avg_cpu_ms,fpr,fnr,precision
ADWIN,20,1,0,9,0.206915003946051,0.20046999561600387,0.0,0.45,1.0
DDM,20,0,0,10,0.5159300053492188,0.5104800104163587,0.0,0.5,0.0
KSWIN,20,2,1,9,103.16276499652304,103.15709499991499,0.05,0.45,0.5
KS_Test,20,20,10,0,150.47867000685073,150.26517999940552,0.5,0.0,0.5
PSI,20,20,10,0,13.022514997282997,13.015009998343885,0.5,0.0,0.5
PageHinkley,20,0,0,10,0.5274149996694177,0.5218100035563111,0.0,0.5,0.0
